,Type,main_muscle,secondary_muscle,equipment,mechanics,level,sport,force
,Powerlifting,Glutes, Calves Hamstrings,Barbell,Compound,Intermediate,No,Push
,Strength,Quadriceps, Calves Forearms Hamstrings,Barbell,Compound,Intermediate,No,Push
,Strength,Chest, Shoulders Triceps,Barbell,Compound,Beginner,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
,Strength,Abdominals, Glutes Hamstrings Lats Shoulders,Barbell,Compound,Intermediate,No,Pull
,Strength,Shoulders, Chest Triceps,Barbell,Compound,Intermediate,No,Push
,Strength,Traps, Forearms MiddleBack,Barbell,Isolation,Beginner,No,Pull
,Strength,Quadriceps, Calves Hamstrings LowerBack,Barbell,Compound,Beginner,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Barbell,Compound,Expert,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Beginner,No,Push
,Strongman,Quadriceps, Calves Glutes Hamstrings,Other,Compound,Beginner,No,Push
,Strength,Triceps, Chest Shoulders,BodyOnly,Compound,Beginner,No,Push
,Powerlifting,Triceps, Chest Forearms Lats Shoulders,Barbell,Compound,Intermediate,Yes,Push
,Powerlifting,Triceps, Chest Lats Shoulders,Barbell,Compound,Expert,No,Push
,Strength,MiddleBack, Biceps Lats Shoulders,Barbell,Compound,Beginner,No,Pull
,Strength,Shoulders, LowerBack MiddleBack Traps,Cable,Isolation,Beginner,No,Pull
,Strength,MiddleBack, Biceps Lats,Barbell,Compound,Intermediate,No,Pull
,Strength,MiddleBack, Biceps Lats,Dumbbell,Compound,Beginner,No,Pull
,Strength,Lats, Chest Lats Shoulders Triceps,Barbell,Compound,Intermediate,No,Pull
,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
,Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Beginner,Indoor,No
,Strength,Triceps,0,BodyOnly,Isolation,Beginner,No,Push
,Strength,Chest, Abdominals Shoulders Triceps,E-ZCurlBar,Isolation,Intermediate,No,Push
,Strength,Quadriceps, Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
,Strength,Forearms, Biceps Shoulders,Kettlebells,Compound,Intermediate,No,Pull
,Plyometrics,Hamstrings, Abductors Adductors Calves Glutes Quadriceps,Other,Compound,Beginner,No,Push
,Powerlifting,Quadriceps, Abductors Adductors Calves Glutes Hamstrings LowerBack,Barbell,Compound,Expert,No,Push
,Stretching,Biceps,0,FoamRoll,N/A,Intermediate,No,Static
,Strength,Glutes, Hamstrings,BodyOnly,Isolation,Beginner,No,Push
,Strength,Chest,0,Machine,Isolation,Beginner,No,Pull
,Strength,Chest, Shoulders Triceps,Cable,Compound,Beginner,No,Push
,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
,Strength,Biceps,0,Cable,Isolation,Beginner,No,Pull
,Strength,Lats,0,Cable,Isolation,Beginner,No,Pull
,Strength,Shoulders,0,Cable,Compound,Beginner,No,Pull
,Strength,Abdominals,0,Cable,Compound,Beginner,No,Pull
,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
,Strength,Shoulders,0,Cable,Isolation,Beginner,No,Pull
,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
,Strength,Abdominals,0,Cable,Compound,Beginner,No,Pull
,Strength,Shoulders, MiddleBack Traps,Cable,Isolation,Beginner,No,Pull
,Strength,Traps,0,Cable,Isolation,Beginner,No,Pull
,Strength,Forearms,0,Cable,Isolation,Beginner,No,Pull
,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
,Strength,Calves,0,Bands,Isolation,Beginner,No,Push
,Stretching,Calves,0,None,Isolation,Beginner,No,Static
,Stretching,Calves,0,FoamRoll,N/A,Intermediate,No,Static
,Strength,Shoulders, Forearms,Other,Isolation,Beginner,No,Push
,Stretching,LowerBack, MiddleBack Traps,None,N/A,Beginner,No,Static
,Powerlifting,Triceps,0,Other,Isolation,Intermediate,No,Push
,Stretching,Hamstrings, Adductors,Other,Isolation,Beginner,No,Static
,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Beginner,No,Push
,Stretching,Chest, Shoulders,Other,Isolation,Beginner,No,Static
,Plyometrics,Chest, Abdominals Shoulders Triceps,MedicineBall,Compound,Beginner,No,Push
,Plyometrics,Chest, Abdominals Shoulders Triceps,MedicineBall,Compound,Beginner,No,Push
,Stretching,LowerBack, Glutes MiddleBack,None,N/A,Beginner,No,Static
,Strength,Lats, Biceps Forearms MiddleBack,BodyOnly,Compound,Beginner,No,Pull
,OlympicWeightlifting,Hamstrings, Calves Forearms Glutes LowerBack Quadriceps Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
,Strength,Shoulders, Abdominals Calves Glutes Hamstrings LowerBack MiddleBack Quadriceps Shoulders Traps Triceps,Barbell,Compound,Intermediate,No,Push
,OlympicWeightlifting,Quadriceps, Calves Glutes Hamstrings Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
,OlympicWeightlifting,Traps, Forearms Shoulders,Barbell,Compound,Beginner,No,Pull
,Strength,Triceps, Chest Shoulders,Barbell,Compound,Beginner,No,Push
,Strength,Biceps, Forearms,Barbell,Isolation,Beginner,No,Pull
,Strength,Triceps, Chest Shoulders,E-ZCurlBar,Compound,Beginner,No,Push
,Strength,Triceps, Abdominals Chest Shoulders,BodyOnly,Compound,Intermediate,No,Push
,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Chest, Biceps Shoulders,Bands,Compound,Beginner,No,Push
,Stretching,LowerBack, Abdominals Abductors Glutes Hamstrings Quadriceps,None,N/A,Intermediate,No,Pull
,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,Strength,Chest, Shoulders Triceps,Cable,Compound,Beginner,No,Push
,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
,Strength,Biceps,0,Cable,Isolation,Beginner,No,Pull
,Strength,Lats,0,Cable,Isolation,Beginner,No,Pull
,Strength,Shoulders,0,Cable,Compound,Beginner,No,Pull
,Strength,Abdominals,0,Cable,Compound,Beginner,No,Pull
,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
,Strength,Shoulders,0,Cable,Isolation,Beginner,No,Pull
,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
,Strength,Abdominals,0,Cable,Compound,Beginner,No,Pull
,Strength,Shoulders, MiddleBack Traps,Cable,Isolation,Beginner,No,Pull
,Strength,Traps,0,Cable,Isolation,Beginner,No,Pull
,Strength,Forearms,0,Cable,Isolation,Beginner,No,Pull
,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
,Strength,Calves,0,Bands,Isolation,Beginner,No,Push
,Stretching,Calves,0,None,Isolation,Beginner,No,Static
,Stretching,Calves,0,FoamRoll,N/A,Intermediate,No,Static
,Strength,Shoulders, Forearms,Other,Isolation,Beginner,No,Push
,Stretching,LowerBack, MiddleBack Traps,None,N/A,Beginner,No,Static
,Powerlifting,Triceps,0,Other,Isolation,Intermediate,No,Push
,Stretching,Hamstrings, Adductors,Other,Isolation,Beginner,No,Static
,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Beginner,No,Push
,Stretching,Chest, Shoulders,Other,Isolation,Beginner,No,Static
,Plyometrics,Chest, Abdominals Shoulders Triceps,MedicineBall,Compound,Beginner,No,Push
,Plyometrics,Chest, Abdominals Shoulders Triceps,MedicineBall,Compound,Beginner,No,Push
,Stretching,LowerBack, Glutes MiddleBack,None,N/A,Beginner,No,Static
,Strength,Lats, Biceps Forearms MiddleBack,BodyOnly,Compound,Beginner,No,Pull
,OlympicWeightlifting,Hamstrings, Calves Forearms Glutes LowerBack Quadriceps Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
,Strength,Shoulders, Abdominals Calves Glutes Hamstrings LowerBack MiddleBack Quadriceps Shoulders Traps Triceps,Barbell,Compound,Intermediate,No,Push
,OlympicWeightlifting,Quadriceps, Calves Glutes Hamstrings Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
,OlympicWeightlifting,Traps, Forearms Shoulders,Barbell,Compound,Beginner,No,Pull
,Strength,Triceps, Chest Shoulders,Barbell,Compound,Beginner,No,Push
,Strength,Biceps, Forearms,Barbell,Isolation,Beginner,No,Pull
,Strength,Triceps, Chest Shoulders,E-ZCurlBar,Compound,Beginner,No,Push
,Strength,Triceps, Abdominals Chest Shoulders,BodyOnly,Compound,Intermediate,No,Push
,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Chest, Biceps Shoulders,Bands,Compound,Beginner,No,Push
,Stretching,LowerBack, Abdominals Abductors Glutes Hamstrings Quadriceps,None,N/A,Intermediate,No,Pull
,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,Stretching,LowerBack, Abductors Glutes,None,N/A,Beginner,No,Static
,Powerlifting,LowerBack, Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Barbell,Compound,Expert,No,Pull
,Strength,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
,Powerlifting,LowerBack, Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
,Strength,Triceps, Chest Shoulders,Machine,Compound,Beginner,No,Push
,Strength,Triceps, Chest Shoulders,BodyOnly,Compound,Beginner,No,Push
,Strength,Hamstrings, Biceps Calves Forearms Glutes LowerBack Quadriceps Traps,Kettlebells,Compound,Intermediate,No,Pull
,Strength,Shoulders, Calves Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
,Strength,Abdominals, Glutes Hamstrings Shoulders Triceps,Kettlebells,N/A,Intermediate,No,Pull
,Strength,Glutes, Abdominals Hamstrings,ExerciseBall,Isolation,Intermediate,No,Static
,Plyometrics,Chest, Shoulders Triceps,Other,Compound,Intermediate,No,Push
,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
,Powerlifting,Triceps, Chest Shoulders,Dumbbell,Compound,Intermediate,No,Push
,Strength,MiddleBack, Biceps Forearms Lats Shoulders,Dumbbell,Compound,Beginner,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings,Dumbbell,Compound,Beginner,No,Push
,Strength,Forearms,0,Dumbbell,Isolation,Intermediate,No,Pull
,Strength,Forearms,0,Dumbbell,Isolation,Intermediate,No,Pull
,Strength,Triceps,0,Dumbbell,Isolation,Intermediate,No,Push
,Strength,Biceps,0,Dumbbell,Isolation,Intermediate,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings,Dumbbell,Compound,Intermediate,No,Push
,Plyometrics,Quadriceps, Calves Glutes Hamstrings,Compound,Intermediate,No,Push,
,Strength,Shoulders, Triceps,Dumbbell,Compound,Intermediate,No,Push
,Strength,Abdominals,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Dumbbell,Compound,Intermediate,No,Push
,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
,Stretching,Chest, MiddleBack,None,N/A,Beginner,No,Pull
,Stretching,LowerBack, Abductors Glutes,None,N/A,Beginner,No,Static
,Powerlifting,LowerBack, Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Barbell,Compound,Expert,No,Pull
,Strength,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
,Powerlifting,LowerBack, Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
,Strength,Triceps, Chest Shoulders,Machine,Compound,Beginner,No,Push
,Strength,Triceps, Chest Shoulders,BodyOnly,Compound,Beginner,No,Push
,Strength,Hamstrings, Biceps Calves Forearms Glutes LowerBack Quadriceps Traps,Kettlebells,Compound,Intermediate,No,Pull
,Strength,Shoulders, Calves Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
,Strength,Abdominals, Glutes Hamstrings Shoulders Triceps,Kettlebells,N/A,Intermediate,No,Pull
,Strength,Glutes, Abdominals Hamstrings,ExerciseBall,Isolation,Intermediate,No,Static
,Plyometrics,Chest, Shoulders Triceps,Other,Compound,Intermediate,No,Push
,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
,Powerlifting,Triceps, Chest Shoulders,Dumbbell,Compound,Intermediate,No,Push
,Strength,MiddleBack, Biceps Forearms Lats Shoulders,Dumbbell,Compound,Beginner,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings,Dumbbell,Compound,Beginner,No,Push
,Strength,Forearms,0,Dumbbell,Isolation,Intermediate,No,Pull
,Strength,Forearms,0,Dumbbell,Isolation,Intermediate,No,Pull
,Strength,Triceps,0,Dumbbell,Isolation,Intermediate,No,Push
,Strength,Biceps,0,Dumbbell,Isolation,Intermediate,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings,Dumbbell,Compound,Intermediate,No,Push
,Plyometrics,Quadriceps, Calves Glutes Hamstrings,Compound,Intermediate,No,Push,
,Strength,Shoulders, Triceps,Dumbbell,Compound,Intermediate,No,Push
,Strength,Abdominals,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Dumbbell,Compound,Intermediate,No,Push
,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
,Stretching,Chest, MiddleBack,None,N/A,Beginner,No,Pull
,Stretching,Shoulders, Traps,None,Isolation,Beginner,No,Pull
,Stretching,Chest, Shoulders,None,Isolation,Beginner,No,Static
,Strength,Lats, MiddleBack Traps,Cable,Compound,Intermediate,No,Pull
,Strength,Abdominals,0,ExerciseBall,Isolation,Beginner,No,Pull
,Strength,Chest, Shoulders Triceps,Kettlebells,Compound,Beginner,No,Push
,Strength,Shoulders,0,Bands,Compound,Beginner,No,Pull
,Strength,Biceps,0,E-ZCurlBar,Isolation,Beginner,No,Pull
,Stretching,Shoulders, Traps,None,Isolation,Beginner,No,Pull
,Stretching,Chest, Shoulders,None,Isolation,Beginner,No,Static
,Strength,Lats, MiddleBack Traps,Cable,Compound,Intermediate,No,Pull
,Strength,Abdominals,0,ExerciseBall,Isolation,Beginner,No,Pull
,Strength,Chest, Shoulders Triceps,Kettlebells,Compound,Beginner,No,Push
,Strength,Shoulders,0,Bands,Compound,Beginner,No,Pull
,Strength,Biceps,0,E-ZCurlBar,Isolation,Beginner,No,Pull
,Strength,Shoulders, MiddleBack,Cable,Compound,Intermediate,No,Pull
,Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
,Strength,Chest,0,Cable,Isolation,Intermediate,No,Push
,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,Strength,Hamstrings, Calves Glutes,None,Isolation,Intermediate,No,Pull
,Powerlifting,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
,Stretching,Calves,0,Other,N/A,Intermediate,No,Static
,OlympicWeightlifting,Quadriceps, Abdominals Calves Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
,Stretching,Quadriceps, Calves Glutes Hamstrings,None,Compound,Intermediate,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Expert,No,Push
,Plyometrics,Hamstrings, Abductors Adductors Calves Glutes Quadriceps,Other,Compound,Beginner,No,Push
,Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Other,Compound,Beginner,No,Push
,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Shoulders,0,Other,Isolation,Intermediate,No,Push
,Strength,Quadriceps, Abdominals Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Shoulders, MiddleBack,Cable,Compound,Intermediate,No,Pull
,Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
,Strength,Chest,0,Cable,Isolation,Intermediate,No,Push
,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,Strength,Hamstrings, Calves Glutes,None,Isolation,Intermediate,No,Pull
,Powerlifting,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
,Stretching,Calves,0,Other,N/A,Intermediate,No,Static
,OlympicWeightlifting,Quadriceps, Abdominals Calves Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
,Stretching,Quadriceps, Calves Glutes Hamstrings,None,Compound,Intermediate,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Expert,No,Push
,Plyometrics,Hamstrings, Abductors Adductors Calves Glutes Quadriceps,Other,Compound,Beginner,No,Push
,Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Other,Compound,Beginner,No,Push
,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Shoulders,0,Other,Isolation,Intermediate,No,Push
,Strength,Quadriceps, Abdominals Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Lats, Biceps MiddleBack,Other,Compound,Intermediate,No,Pull
,Strength,Glutes, Hamstrings,BodyOnly,Compound,Beginner,No,Push
,Powerlifting,Hamstrings, Abdominals Glutes LowerBack,Barbell,Compound,Intermediate,No,Push
,Strength,Abdominals, Biceps Lats,BodyOnly,Compound,Intermediate,No,Pull
,Stretching,Adductors,0,BodyOnly,Compound,Intermediate,No,Pull
,Strength,Lats, Biceps MiddleBack,Other,Compound,Intermediate,No,Pull
,Strength,Glutes, Hamstrings,BodyOnly,Compound,Beginner,No,Push
,Powerlifting,Hamstrings, Abdominals Glutes LowerBack,Barbell,Compound,Intermediate,No,Push
,Strength,Abdominals, Biceps Lats,BodyOnly,Compound,Intermediate,No,Pull
,Stretching,Adductors,0,BodyOnly,Compound,Intermediate,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Beginner,No,Push
,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
,Stretching,Hamstrings,0,FoamRoll,Isolation,Beginner,No,Static
,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
,OlympicWeightlifting,Hamstrings, Abdominals Calves Forearms Glutes LowerBack Quadriceps Shoulders Traps,Barbell,Compound,Expert,No,Pull
,Powerlifting,Hamstrings, Abdominals Glutes LowerBack,Barbell,Compound,Intermediate,No,Push
,Strength,Abdominals,0,BodyOnly,Compound,Expert,No,Pull
,Plyometrics,Chest, Abdominals Shoulders Triceps,Other,Compound,Beginner,No,Push
,Stretching,Abductors, Adductors,BodyOnly,Isolation,Beginner,No,Pull
,Strength,Glutes, Hamstrings,Bands,Compound,Beginner,No,Push
,Powerlifting,Glutes, Calves Hamstrings,Bands,Compound,Beginner,No,Push
,Stretching,LowerBack, Glutes,None,N/A,Beginner,No,Static
,Strength,LowerBack, Glutes Hamstrings,Other,Isolation,Beginner,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Beginner,No,Push
,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
,Stretching,Hamstrings,0,FoamRoll,Isolation,Beginner,No,Static
,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
,OlympicWeightlifting,Hamstrings, Abdominals Calves Forearms Glutes LowerBack Quadriceps Shoulders Traps,Barbell,Compound,Expert,No,Pull
,Powerlifting,Hamstrings, Abdominals Glutes LowerBack,Barbell,Compound,Intermediate,No,Push
,Strength,Abdominals,0,BodyOnly,Compound,Expert,No,Pull
,Plyometrics,Chest, Abdominals Shoulders Triceps,Other,Compound,Beginner,No,Push
,Stretching,Abductors, Adductors,BodyOnly,Isolation,Beginner,No,Pull
,Strength,Glutes, Hamstrings,Bands,Compound,Beginner,No,Push
,Powerlifting,Glutes, Calves Hamstrings,Bands,Compound,Beginner,No,Push
,Stretching,LowerBack, Glutes,None,N/A,Beginner,No,Static
